день,хмарність,опади,денна температура повітря,нічна температура повітря,сила вітру,період
1,2%,-,3.0°C,-3.0°C,3 м/с,2026-03
2,57%,-,2.5°C,0.5°C,3 м/с,2026-03
3,87%,-,1.5°C,0.5°C,4 м/с,2026-03
4,63%,-,4.5°C,-0.5°C,3 м/с,2026-03
5,45%,-,3.5°C,0.0°C,5 м/с,2026-03
6,95%,-,3.0°C,0.5°C,4 м/с,2026-03
7,18%,-,4.0°C,-1.0°C,2 м/с,2026-03
8,40%,-,4.0°C,0.0°C,1 м/с,2026-03
9,8%,-,7.0°C,0.5°C,2 м/с,2026-03
10,0%,-,10.5°C,2.0°C,3 м/с,2026-03
11,5%,-,11.5°C,3.5°C,4 м/с,2026-03
12,30%,-,11.0°C,3.5°C,3 м/с,2026-03
13,6%,-,12.5°C,4.5°C,3 м/с,2026-03
14,0%,-,9.5°C,4.0°C,5 м/с,2026-03
15,0%,-,9.5°C,2.5°C,4 м/с,2026-03
16,1%,-,8.5°C,2.5°C,2 м/с,2026-03
17,57%,-,7.0°C,1.5°C,3 м/с,2026-03
18,99%,-,2.5°C,1.5°C,3 м/с,2026-03
19,99%,-,2.5°C,2.0°C,2 м/с,2026-03
20,66%,-,7.5°C,2.0°C,2 м/с,2026-03
21,66%,-,8.0°C,2.5°C,4 м/с,2026-03
22,56%,-,5.0°C,1.5°C,3 м/с,2026-03
23,32%,-,8.0°C,0.5°C,2 м/с,2026-03
24,1%,-,10.5°C,3.5°C,1 м/с,2026-03
25,19%,-,11.5°C,5.5°C,2 м/с,2026-03
26,40%,-,12.0°C,4.5°C,3 м/с,2026-03
27,41%,-,13.0°C,9.0°C,2 м/с,2026-03
28,62%,-,11.5°C,6.5°C,3 м/с,2026-03
29,62%,-,13.0°C,7.0°C,3 м/с,2026-03
1,23%,-,-14.5°C,-18.0°C,3 м/с,2026-02
2,46%,-,-16.0°C,-22.0°C,2 м/с,2026-02
3,29%,-,-13.0°C,-20.0°C,1 м/с,2026-02
4,44%,-,-10.5°C,-18.5°C,3 м/с,2026-02
5,99%,1 м.м.,-6.0°C,-7.5°C,6 м/с,2026-02
6,91%,1 м.м.,-6.0°C,-7.0°C,4 м/с,2026-02
7,100%,1 м.м.,-4.5°C,-6.0°C,2 м/с,2026-02
8,88%,-,-5.0°C,-6.0°C,4 м/с,2026-02
9,29%,-,-10.5°C,-17.5°C,2 м/с,2026-02
10,10%,-,-9.0°C,-20.0°C,3 м/с,2026-02
11,92%,-,-2.0°C,-9.0°C,5 м/с,2026-02
12,100%,-,1.0°C,1.0°C,5 м/с,2026-02
13,100%,-,1.0°C,1.0°C,2 м/с,2026-02
14,97%,-,1.5°C,1.0°C,3 м/с,2026-02
15,98%,6 м.м.,-3.0°C,-2.0°C,3 м/с,2026-02
16,94%,1 м.м.,-7.5°C,-7.5°C,5 м/с,2026-02
17,77%,-,-9.5°C,-18.0°C,2 м/с,2026-02
18,88%,1 м.м.,-8.5°C,-11.5°C,4 м/с,2026-02
19,69%,1 м.м.,-5.0°C,-8.0°C,4 м/с,2026-02
